Conference,School Name,City,State
A-R-C,Buena Vista,Storm Lake,IA
A-R-C,Central (IA),Pella,IA
A-R-C,Coe,Cedar Rapids,IA
A-R-C,Dubuque,Dubuque,IA
A-R-C,Loras,Dubuque,IA
A-R-C,Luther,Decorah,IA
A-R-C,Nebraska Wesleyan,Lincoln,NE
A-R-C,Northwestern (MN),Orange City,IA
A-R-C,Simpson,Indianola,IA
A-R-C,Wartburg,Waverly,IA
AMCC,La Roche,Pittsburgh,PA
AMCC,Mount Aloysius,Cresson,PA
AMCC,Penn State Erie,Erie,PA
ASC,East Texas Baptist,Marshall,TX
ASC,Hardin-Simmons,Abilene,TX
ASC,Howard Payne,Brownwood,TX
ASC,LeTourneau,Longview,TX
ASC,Mary Hardin-Baylor,Belton,TX
ASC,McMurry,Abilene,TX
ASC,Sul Ross State,Alpine,TX
ASC,Texas-Dallas,Richardson,TX
ASC,Texas-Tyler,Tyler,TX
Atlantic East,Cabrini,Radnor,PA
Atlantic East,Gwynedd Mercy,Gwynedd Valley,PA
Atlantic East,Immaculata,Immaculata,PA
Atlantic East,Marymount (VA),Arlington,VA
Atlantic East,Marywood,Scranton,PA
Atlantic East,Neumann,Aston,PA
C2C,Christopher Newport,Newport News,VA
C2C,Mary Washington,Fredericksburg,VA
C2C,Penn State Harrisburg,Middletown,PA
C2C,Salisbury,Salisbury,MD
C2C,St. Mary's (MD),St. Mary's City,MD
C2C,Wesley,Dover,DE
CCC,Curry,Milton,MA
CCC,Endicott,Beverly,MA
CCC,Gordon,Wenham,MA
CCC,Nichols,Dudley,MA
CCC,Roger Williams,Bristol,RI
CCC,Salve Regina,Newport,RI
CCC,Suffolk,Boston,MA
CCC,Wentworth,Boston,MA
CCC,Western New England,Springfield,MA
CCIW,Augustana (IL),Rock Island,IL
CCIW,Carroll (WI),Waukesha,WI
CCIW,Carthage,Kenosha,WI
CCIW,Elmhurst,Elmhurst,IL
CCIW,Illinois Wesleyan,Bloomington,IL
CCIW,Millikin,Decatur,IL
CCIW,North Central (IL),Naperville,IL
CCIW,North Park,Chicago,IL
CCIW,Wheaton (IL),Wheaton,IL
Centennial,Dickinson,Carlisle,PA
Centennial,Franklin & Marshall,Lancaster,PA
Centennial,Gettysburg,Gettysburg,PA
Centennial,Haverford,Haverford,PA
Centennial,Johns Hopkins,Baltimore,MD
Centennial,McDaniel,Westminster,MD
Centennial,Muhlenberg,Allentown,PA
Centennial,Swarthmore,Swarthmore,PA
Centennial,Washington College,Chestertown,MD
Colonial States,Cairn,Langhorne,PA
Colonial States,Centenary (NJ),Hackettstown,NJ
Colonial States,Keystone,La Plume,PA
Colonial States,Lancaster Bible,Lancaster,PA
CUNYAC,Baruch,New York,NY
CUNYAC,Brooklyn,Brooklyn,NY
CUNYAC,City College of New York,New York,NY
CUNYAC,Hunter,New York,NY
CUNYAC,John Jay,New York,NY
CUNYAC,Lehman,Bronx,NY
CUNYAC,Medgar Evers,Brooklyn,NY
CUNYAC,Staten Island,Staten Island,NY
CUNYAC,York (NY),Jamaica,NY
Empire 8,Alfred,Alfred,NY
Empire 8,Elmira,Elmira,NY
Empire 8,Hartwick,Oneonta,NY
Empire 8,Hilbert,Hamburg,NY
Empire 8,Medaille,Buffalo,NY
Empire 8,Nazareth (NY),Rochester,NY
Empire 8,Sage,Albany,NY
Empire 8,St. John Fisher,Rochester,NY
Empire 8,Utica,Utica,NY
GNAC,Albertus Magnus,New Haven,CT
GNAC,Anna Maria,Paxton,MA
GNAC,Colby-Sawyer,New London,NH
GNAC,Elms,Chicopee,MA
GNAC,Johnson & Wales,Providence,RI
GNAC,Lasell,Newton,MA
GNAC,Norwich,Northfield,VT
GNAC,Regis (MA),Weston,MA
GNAC,Rivier,Nashua,NH
GNAC,St. Joseph (CT),West Hartford,CT
GNAC,St. Joseph's (ME),Standish,ME
Heartland,Anderson (IN),Anderson,IN
Heartland,Bluffton,Bluffton,OH
Heartland,Defiance,Defiance,OH
Heartland,Earlham,Richmond,IN
Heartland,Franklin,Franklin,IN
Heartland,Hanover,Hanover,IN
Heartland,Manchester,North Manchester,IN
Heartland,Mount Saint Joseph,Cincinnati,OH
Heartland,Rose-Hulman,Terre Haute,IN
Heartland,Transylvania,Lexington,KY
Independent,UC Santa Cruz,Santa Cruz,CA
Landmark,Catholic,Washington,DC
Landmark,Drew,Madison,NJ
Landmark,Elizabethtown,Elizabethtown,PA
Landmark,Goucher,Baltimore,MD
Landmark,Juniata,Huntingdon,PA
Landmark,Moravian,Bethlehem,PA
Landmark,Scranton,Scranton,PA
Landmark,Susquehanna,Selinsgrove,PA
Liberty League,Bard,Annandale-on-Hudson,NY
Liberty League,Clarkson,Potsdam,NY
Liberty League,Hobart,Geneva,NY
Liberty League,Ithaca,Ithaca,NY
Liberty League,Rensselaer,Troy,NY
Liberty League,RIT,Rochester,NY
Liberty League,Skidmore,Saratoga Springs,NY
Liberty League,St. Lawrence,Canton,NY
Liberty League,Union (NY),Schenectady,NY
Liberty League,Vassar,Poughkeepsie,NY
Little East,Eastern Connecticut,Willimantic,CT
Little East,Keene State,Keene,NH
Little East,Massachusetts-Boston,Boston,MA
Little East,Massachusetts-Dartmouth,North Dartmouth,MA
Little East,Plymouth State,Plymouth,NH
Little East,Rhode Island College,Providence,RI
Little East,Southern Maine,Gorham,ME
Little East,Western Connecticut,Danbury,CT
MAC,Albright,Reading,PA
MAC,Alvernia,Reading,PA
MAC,Arcadia,Glenside,PA
MAC,Delaware Valley,Doylestown,PA
MAC,DeSales,Center Valley,PA
MAC,Eastern,St. Davids,PA
MAC,FDU-Florham,Madison,NJ
MAC,Hood,Frederick,MD
MAC,King's (PA),Wilkes-Barre,PA
MAC,Lebanon Valley,Annville,PA
MAC,Lycoming,Williamsport,PA
MAC,Manhattanville,Purchase,NY
MAC,Messiah,Mechanicsburg,PA
MAC,Misericordia,Dallas,PA
MAC,Stevens,Hoboken,NJ
MAC,Stevenson,Owings Mills,MD
MAC,Widener,Chester,PA
MAC,Wilkes,Wilkes-Barre,PA
MAC,York (PA),York,PA
MASCAC,Bridgewater State,Bridgewater,MA
MASCAC,Fitchburg State,Fitchburg,MA
MASCAC,Framingham State,Framingham,MA
MASCAC,Salem State,Salem,MA
MASCAC,Westfield State,Westfield,MA
MASCAC,Worcester State,Worcester,MA
MIAA,Adrian,Adrian,MI
MIAA,Albion,Albion,MI
MIAA,Alma,Alma,MI
MIAA,Calvin,Grand Rapids,MI
MIAA,Hope,Holland,MI
MIAA,Kalamazoo,Kalamazoo,MI
MIAA,Trine,Angola,IN
MIAC,Bethel (MN),St. Paul,MN
MIAC,Carleton,Northfield,MN
MIAC,Concordia (MN),Moorhead,MN
MIAC,Gustavus Adolphus,St. Peter,MN
MIAC,Hamline,St. Paul,MN
MIAC,Macalester,St. Paul,MN
MIAC,St. Olaf,Northfield,MN
MIAC,St. Thomas (MN),St. Paul,MN
MWC,Beloit,Beloit,WI
MWC,Cornell (IA),Mount Vernon,IA
MWC,Grinnell,Grinnell,IA
MWC,Illinois College,Jacksonville,IL
MWC,Knox,Galesburg,IL
MWC,Lake Forest,Lake Forest,IL
MWC,Lawrence,Appleton,WI
MWC,Monmouth (IL),Monmouth,IL
MWC,Ripon,Ripon,WI
MWC,St. Norbert,De Pere,WI
NAC,Castleton,Castleton,VT
NAC,Husson,Bangor,ME
NAC,Maine Maritime,Castine,ME
NAC,SUNY Canton,Canton,NY
NAC,SUNY Cobleskill,Cobleskill,NY
NAC,SUNY Delhi,Delhi,NY
NAC,SUNY Morrisville,Morrisville,NY
NAC,SUNY Poly,Utica,NY
NAC,Thomas (ME),Waterville,ME
NACC,Aurora,Aurora,IL
NACC,Benedictine (IL),Lisle,IL
NACC,Concordia (WI),Mequon,WI
NACC,Concordia Chicago,River Forest,IL
NACC,Dominican (IL),River Forest,IL
NACC,Edgewood,Madison,WI
NCAC,Allegheny,Meadville,PA
NCAC,College of Wooster,Wooster,OH
NCAC,Denison,Granville,OH
NCAC,DePauw,Greencastle,IN
NCAC,Hiram,Hiram,OH
NCAC,Kenyon,Gambier,OH
NCAC,Oberlin,Oberlin,OH
NCAC,Ohio Wesleyan,Delaware,OH
NCAC,Wabash,Crawfordsville,IN
NCAC,Wittenberg,Springfield,OH
NCAC,Wooster,Wooster,OH
NEAC,Gallaudet,Washington,DC
NEAC,Penn State Abington,Abington,PA
NEAC,Penn State Berks,Reading,PA
NECC,Becker,Worcester,MA
NECC,Lesley,Cambridge,MA
NECC,Mitchell,New London,CT
NECC,New England College,Henniker,NH
NESCAC,Amherst,Amherst,MA
NESCAC,Bates,Lewiston,ME
NESCAC,Bowdoin,Brunswick,ME
NESCAC,Colby,Waterville,ME
NESCAC,Connecticut College,New London,CT
NESCAC,Hamilton,Clinton,NY
NESCAC,Middlebury,Middlebury,VT
NESCAC,Trinity (CT),Hartford,CT
NESCAC,Tufts,Medford,MA
NESCAC,Wesleyan (CT),Middletown,CT
NESCAC,Williams,Williamstown,MA
NEWMAC,Babson,Babson Park,MA
NEWMAC,Clark (MA),Worcester,MA
NEWMAC,Coast Guard,New London,CT
NEWMAC,Emerson,Boston,MA
NEWMAC,MIT,Cambridge,MA
NEWMAC,Springfield,Springfield,MA
NEWMAC,Wheaton (MA),Norton,MA
NEWMAC,WPI,Worcester,MA
NJAC,College of New Jersey,Ewing,NJ
NJAC,Kean,Union,NJ
NJAC,Montclair State,Montclair,NJ
NJAC,NJ City,Jersey City,NJ
NJAC,Ramapo,Mahwah,NJ
NJAC,Rowan,Glassboro,NJ
NJAC,Rutgers-Camden,Camden,NJ
NJAC,Rutgers-Newark,Newark,NJ
NJAC,Stockton,Galloway,NJ
NJAC,William Paterson,Wayne,NJ
NSAA,Presentation,Aberdeen,SD
NWC,George Fox,Newberg,OR
NWC,Lewis & Clark,Portland,OR
NWC,Linfield,McMinnville,OR
NWC,Pacific (OR),Forest Grove,OR
NWC,Pacific Lutheran,Tacoma,WA
NWC,Puget Sound,Tacoma,WA
NWC,Whitman,Walla Walla,WA
NWC,Whitworth,Spokane,WA
NWC,Willamette,Salem,OR
OAC,Baldwin Wallace,Berea,OH
OAC,Capital,Columbus,OH
OAC,Heidelberg,Tiffin,OH
OAC,John Carroll,University Heights,OH
