Conference,School Name,City,State
ACC,Boston College,Chestnut Hill,MA
ACC,California,Berkeley,CA
ACC,Clemson,Clemson,SC
ACC,Duke,Durham,NC
ACC,Florida State,Tallahassee,FL
ACC,Georgia Tech,Atlanta,GA
ACC,Louisville,Louisville,KY
ACC,Miami (FL),Coral Gables,FL
ACC,NC State,Raleigh,NC
ACC,North Carolina,Chapel Hill,NC
ACC,Notre Dame,Notre Dame,IN
ACC,Pittsburgh,Pittsburgh,PA
ACC,Stanford,Stanford,CA
ACC,Virginia,Charlottesville,VA
ACC,Virginia Tech,Blacksburg,VA
ACC,Wake Forest,Winston-Salem,NC
America East,Albany,Albany,NY
America East,Binghamton,Binghamton,NY
America East,Bryant,Smithfield,RI
America East,Maine,Orono,ME
America East,NJIT,Newark,NJ
America East,UMass Lowell,Lowell,MA
America East,UMBC,Baltimore,MD
American Athletic,Charlotte,Charlotte,NC
American Athletic,East Carolina,Greenville,NC
American Athletic,FAU,Boca Raton,FL
American Athletic,Memphis,Memphis,TN
American Athletic,Navy,Annapolis,MD
American Athletic,North Texas,Denton,TX
American Athletic,Rice,Houston,TX
American Athletic,South Florida,Tampa,FL
American Athletic,Temple,Philadelphia,PA
American Athletic,Tulane,New Orleans,LA
American Athletic,Tulsa,Tulsa,OK
American Athletic,UAB,Birmingham,AL
American Athletic,UTSA,San Antonio,TX
American Athletic,Wichita State,Wichita,KS
ASUN,Austin Peay,Clarksville,TN
ASUN,Bellarmine,Louisville,KY
ASUN,Central Arkansas,Conway,AR
ASUN,Eastern Kentucky,Richmond,KY
ASUN,Florida Gulf Coast,Fort Myers,FL
ASUN,Jacksonville,Jacksonville,FL
ASUN,Lipscomb,Nashville,TN
ASUN,North Alabama,Florence,AL
ASUN,North Florida,Jacksonville,FL
ASUN,Queens,Charlotte,NC
ASUN,Stetson,DeLand,FL
ASUN,West Georgia,Carrollton,GA
Atlantic 10,Davidson,Davidson,NC
Atlantic 10,Dayton,Dayton,OH
Atlantic 10,Fordham,Bronx,NY
Atlantic 10,George Mason,Fairfax,VA
Atlantic 10,George Washington,Washington,DC
Atlantic 10,La Salle,Philadelphia,PA
Atlantic 10,Massachusetts,Amherst,MA
Atlantic 10,Rhode Island,Kingston,RI
Atlantic 10,Richmond,Richmond,VA
Atlantic 10,Saint Joseph's,Philadelphia,PA
Atlantic 10,Saint Louis,St. Louis,MO
Atlantic 10,St. Bonaventure,Olean,NY
Atlantic 10,VCU,Richmond,VA
Big 12,Arizona,Tucson,AZ
Big 12,Arizona State,Tempe,AZ
Big 12,Baylor,Waco,TX
Big 12,BYU,Provo,UT
Big 12,Cincinnati,Cincinnati,OH
Big 12,Houston,Houston,TX
Big 12,Kansas,Lawrence,KS
Big 12,Kansas State,Manhattan,KS
Big 12,Oklahoma State,Stillwater,OK
Big 12,TCU,Fort Worth,TX
Big 12,Texas Tech,Lubbock,TX
Big 12,UCF,Orlando,FL
Big 12,Utah,Salt Lake City,UT
Big 12,West Virginia,Morgantown,WV
Big East,Butler,Indianapolis,IN
Big East,Connecticut,Storrs,CT
Big East,Creighton,Omaha,NE
Big East,Georgetown,Washington,DC
